ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_002801_emotions,,muri abagwaneza.,Vous êtes très gentil.,You are very kind.,emotions,,,,,,,pending
krd_002802_action-verbs,,muri iki gitondo harakanye.,Il fait froid ce matin.,It's cold this morning.,action-verbs,,,,,,,pending
krd_002803_action-verbs,,musaza wanje araciye ubwenge,Mon frère est intelligent.,My brother is smart.,action-verbs,,,,,,,pending
krd_002804_greetings,,"mwaramutse, mumeze gute?","Bonjour, comment allez-vous?","Good morning, how are you doing?",greetings,,,,,,,pending
krd_002805_action-verbs,,mwoshorobora gutekeneza iki?,Pouvez-vous réparer cela?,Can you fix this?,action-verbs,,,,,,,pending
krd_002806_general,,n'akazi gakorerwa hamwe nabandi,C'est un travail d'équipe.,It's teamwork.,general,,,,,,,pending
krd_002807_general,,n'icivugo ciza c'urukundo,C'est une belle thème d'amour.,It's a beautiful love theme.,general,,,,,,,pending
krd_002808_proverbs,,n'uguhimbariza umwanya uwariwo wose.,Il faut profiter de chaque instant.,You have to enjoy every moment.,proverbs,,,,,,,pending
krd_002809_action-verbs,,nacererewe kwi bisi.,J'ai raté le bus.,I missed the bus.,action-verbs,,,,,,,pending
krd_002810_general,,nakahe kazi kawe?,Quel est votre travail?,What is your job?,general,,,,,,,pending
krd_002811_action-verbs,,nashaka aga kawa.,Je voudrais un café.,I would like a coffee.,action-verbs,,,,,,,pending
krd_002812_action-verbs,,natakaje ingodo yanje,J'ai perdu mon portefeuille.,I lost my wallet.,action-verbs,,,,,,,pending
krd_002813_emotions,,ndabifurije umunezero wuzuye,Je leur souhaite beaucoup de bonheur.,I wish them lots of happiness.,emotions,,,,,,,pending
krd_002814_general,,ndafiseko amakenga.,J'ai quelques doutes.,I have some doubts.,general,,,,,,,pending
krd_002815_adverbs,,ndagerageza imisi yose kuba kw'isaha,J'essaie d'être toujours à l'heure.,I try to always be on time.,adverbs,,,,,,,pending
krd_002816_action-verbs,,ndagiye mukibanza cokwinonorer imitsi!,Je vais à la salle de sport.,I go to the gym.,action-verbs,,,,,,,pending
krd_002817_vocabulary,,ndakeneye ifu n'isukari,J'ai besoin de farine et de sucre.,I need flour and sugar.,vocabulary,,,,,,,pending
krd_002818_proverbs,,ndakeneye umusegetera.,J'ai besoin d'une moustiquaire.,I need a mosquito net.,proverbs,,,,,,,pending
krd_002819_emotions,,ndakunda akazi kanje.,J'aime mon travail.,I love my job.,emotions,,,,,,,pending
krd_002820_action-verbs,,ndakunda kwoga mukiyaga,J'aime nager dans le lac.,I like swimming in the lake.,action-verbs,,,,,,,pending
krd_002821_proverbs,,ndakurindiririye aha. Ni utabazana turabonana !,"Je t'attends ici. Si tu ne les amènes pas, on va se rencontrer !","I'm waiting for you here. If you don't bring them, we'll meet!",proverbs,,,,,,,pending
krd_002822_action-verbs,,ndanywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,action-verbs,,,,,,,pending
krd_002823_general,,ndashaka kuzoja i Paris.,Je veux visiter Paris.,I want to visit Paris.,general,,,,,,,pending
krd_002824_language,,ndashaka kwiga igifaransa.,Je veux apprendre le français.,I want to learn French.,language,,,,,,,pending
krd_002825_action-verbs,,ndeka jenyene,Laisse-moi tranquille.,Leave me alone.,action-verbs,,,,,,,pending
krd_002826_grammar,,ndemezanya ico ciyumviro,Je suis d'accord avec cette proposition.,I agree with this proposition.,grammar,,,,,,,pending
krd_002827_action-verbs,,ndi muburuhuko,Je suis en vacances.,I'm on vacation.,action-verbs,,,,,,,pending
krd_002828_grammar,,ndibukore,je suis sur le point de travailler,I am about to work,grammar,,,,,,,pending
krd_002829_action-verbs,,ndiko ndafata ivya mugitondo.,Je prends mon petit-déjeuner.,I have breakfast.,action-verbs,,,,,,,pending
krd_002830_action-verbs,,ndiko ndafata ivyo mugitondo.,Je prends mon petit-déjeuner.,I have breakfast.,action-verbs,,,,,,,pending
krd_002831_action-verbs,,ndiko ndanywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,action-verbs,,,,,,,pending
krd_002832_action-verbs,,ndiko numviriza indirimbo.,J'écoute de la musique.,I listen to music.,action-verbs,,,,,,,pending
krd_002833_action-verbs,,nfashe ingingo,J'ai pris une décision.,I made a decision.,action-verbs,,,,,,,pending
krd_002834_action-verbs,,ngira ndabikosore ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,action-verbs,,,,,,,pending
krd_002835_action-verbs,,ngira nfungure inrya,Je veux manger de la nourriture.,I want to eat food.,action-verbs,,,,,,,pending
krd_002836_action-verbs,,ngiye gufata i tagisi.,Je vais prendre un taxi.,I'm going to take a taxi.,action-verbs,,,,,,,pending
krd_002837_action-verbs,,ngiye gufata imodoka inyunguruza,Je vais prendre un taxi.,I'm going to take a taxi.,action-verbs,,,,,,,pending
krd_002838_action-verbs,,ngiye ku kibanza c'Ikarashishi.,Je vais à la salle de sport.,I go to the gym.,action-verbs,,,,,,,pending
krd_002839_action-verbs,,ngiye ku kibanza ca Ikarashishi.,Je vais à la salle de sport.,I go to the gym.,action-verbs,,,,,,,pending
krd_002840_action-verbs,,ngiye kukazi.,Je vais au travail.,I'm going to work.,action-verbs,,,,,,,pending
krd_002841_action-verbs,,ngiye noze amasahani,Je vais faire la vaisselle.,I'm going to do the dishes.,action-verbs,,,,,,,pending
krd_002842_grammar,,ngo mumenye ko Umwana w’umuntu afise ububasha,afin que vous sachiez que le Fils de l'homme a du pouvoir,that you may know that the Son of man has power,grammar,,,,,,,pending
krd_002843_action-verbs,,ngomba kugura umukate.,Je dois acheter du pain.,I have to buy bread.,action-verbs,,,,,,,pending
krd_002844_grammar,,ni icigwa gikomeye,C'est une leçon importante.,This is an important lesson.,grammar,,,,,,,pending
krd_002845_grammar,,ni icirwa nkenerwa,C'est une leçon importante.,This is an important lesson.,grammar,,,,,,,pending
